hg	形
hge	须
hgei	撷
hgeiu	觋
hgeo	挟
hgo	揎
hgu	旋
hgua	歆
hgui	携
hguia	擤
hguu	掀
hh	血
hha	秀
hhe	禧
hhee	祆
hheee	禊
hhi	香
hhia	匣
hho	祥
hhoe	弦
hhoo	夕
hhou	衅
hhu	凶
hhuo	稀
hi	向
hia	啸
hie	项
hiea	哓
hiei	吓
hieie	嘻
hieieu	哮
hieu	咸
hieue	戌
hii	嘘
hiia	嚣
hiie	嚱
hio	喧
hiu	响
hiua	吸
hiuaa	兄
hiui	嗅
hiuie	咻
hiuo	唏
hj	信
hja	奚
hje	休
hjea	偕
hjei	僖
hjeo	侠
hji	修
hjia	仙
hjiai	儇
hju	像
hjui	貅
hjuo	斜
hk	显
hka	暇
hke	献
hkea	晓
hkee	轩
hkei	鞋
hkeii	昔
hkeiu	晰
hkeiuo	皙
hkeo	狭
hki	猩
hkia	狎
hko	辖
hkoo	暄
hkou	曦
hku	星
hkua	旭
hkuao	舄
hkuau	獬
hkue	獯
hkuei	曛
hkui	靴
hkuo	猃
hkuu	昕
hl	新
hla	协
hlai	馨
hle	型
hlei	黠
hleu	夏
hli	喜
hlia	县
hliae	埙
hlie	墟
hlio	魈
hlo	幸
hlu	欣
hlua	孝
hm	象
hma	婿
hmai	糈
hme	刑
hmei	嬉
hmeia	粞
hmi	削
hmia	籼
hmo	嫌
hmoi	娴
hmu	姓
hmui	媳
hn	选
hna	迅
hnaa	巡
hnae	遐
hnai	逊
hni	逍
hnia	暹
hno	鹇
hnu	邂
hnui	鸺
ho	下
hoa	汛
hoae	浔
hoe	泄
hoei	湘
hoeii	潇
hoeiie	渫
hoeiio	荥
hoeiu	淅
hoi	消
hoie	瀣
hoo	息
hooa	泻
hooe	漩
hooea	泫
hooo	渲
hou	洗
houa	洵
houao	汐
houi	涎
houia	溴
houiai	洫
houo	溪
houoa	汹
houoe	淆
houoee	溆
houoeu	浠
hp	写
hpe	宣
hpea	骁
hpi	袖
hpio	宵
hpo	骧
hpu	宪
hpua	殉
hpui	驯
hq	需
hqa	雪
hqae	霞
hqe	峡
hqei	踅
hqi	屑
hqia	岫
hqiau	岘
hqio	霄
hqioe	犀
hqo	躞
hqu	峋
hque	跹
hquei	跣
hqui	髹
hquo	崤
hquu	屣
hr	现
hra	瑕
hrae	巽
hre	寻
hrea	兮
hrei	巷
hreia	舾
hreu	顼
hro	璇
hroe	舷
hru	玺
hrui	鼷
hs	学
hsa	胁
hsai	羞
hsao	翔
hse	兴
hsei	膝
hsi	虚
hsia	肖
hsiae	腥
hso	小
hsoa	泶
hsoe	羡
hsoeo	窨
hsoo	穴
hsu	胸
hsua	穸
hsue	羲
hsui	腺
ht	行
hte	闲
htee	硎
htei	硒
hteo	硖
hti	旬
htie	徙
htio	硝
hto	碹
htu	徐
htua	徇
htuao	矽
htue	衔
htui	阋
htuo	匈
htuu	循
hu	笑
hua	箫
hue	箱
hui	囟
huu	筱
huue	筅
hv	些
hva	萧
hvaa	芗
hve	菥
hvei	葙
hveia	蕈
hveu	薤
hvi	苋
hvia	葸
hvo	蓄
hvoa	芯
hvoe	薪
hvoo	蓿
hvooa	萱
hvu	薛
hvua	荀
hvuai	藓
hvue	薰
hvuo	莶
hvuu	荇
hvuui	蓰
hw	心
hwa	勰
hwai	醑
hwe	想
hwei	惜
hweie	悻
hwi	醒
hwia	悬
hwiae	勋
hwiaee	惺	勖
hwii	忄
hwo	醯
hwu	性
hwua	懈
hwuai	恂
hwue	酰
hwuei	醺
hwui	恤
hwuo	悉
hwuoa	酗
hwuu	忻
hx	先
hxa	限
hxao	陉
hxe	邪
hxee	邢
hxei	牺
hxi	隙
hxia	隰
hxu	险
hxua	陷
hxue	卸
hxuo	郗
hy	效
hya	熊
hye	熙
hyee	盱
hyei	熹
hyeu	燹
hyi	煦
hyie	罅
hyo	瞎
hyoe	眩
hyoea	炫
hyoo	煊
hyu	熄
hyue	熏
hyuo	烯
hz	希
hza	习
hzae	鲟
hze	颉
hzeo	鳕
hzo	鲜
hzou	鲞
hzu	翕
hzue	冼
ja	金
jaa	键
jaaa	钅
jaae	锯
jaaeu	锔
jaao	畿
jae	矩
jaea	钜
jaei	豇
jaeo	铗
jaeu	镢
jai	鉴
jaia	钾
jaiau	卺
jaie	乩
jaii	亟
jao	镜
jaoa	矜
jaoe	铰
jaoi	锏
jaoo	镓
jaou	锩
jau	锦
jaua	钧
jaue	矫
jaui	镌
jb	界
jba	痉
jbae	瘕
jbai	疖
jbau	痂
jbe	畸
jbee	饯
jbei	馑
jbeii	廑
jbi	肩
jbia	疽
jbiai	扃
jbo	饺
jboe	瘠
jbu	疾
jbua	饥
jbuao	疚
jbuo	疥
jc	经
jca	纪
jcae	厩
jcai	纠
jce	结
jcee	绩
jcei	缰
jceii	缙
jceu	缄
jci	紧
jcia	绢
jciae	缉
jco	继
jcoe	绞
jcou	厥
jcoue	缣
jcu	级
jcua	绝
jcuao	绛
jcui	缴
jd	机
jda	架
jdae	艰
jdaee	楗
jdaeu	椐
jdao	橘
jdau	枷
jde	桔
jdei	槿
jdeu	柩
jdeuo	橛
jdi	椒
jdia	楫
jdiae	矍
jdiau	枧
jdo	杰
jdoe	桨
jdoo	榉
jdou	桊
jdu	极
jdua	鸡
jduao	桀
jduau	桷
jdue	榘
jdui	桕
jduo	检
je	集
jea	隽
jee	截
jeea	戋
jeei	羁
jeeo	蛱
jei	棘
jeia	柬
jeiae	雎
jeie	韭
jeo	焦
jeoe	蛟
jeou	夹
jeu	蚧
jeua	虮
jeui	丌
jf	就
jfa	记
jfae	诀
jfaeu	赆
jfao	谲
jfe	计
jfea	讵
jfee	讲
jfeea	贱
jfeei	讦
jfeeu	诫
jfei	警
jfeia	谏
jfeie	诘
jfeii	谨
jfeiu	赍
jfi	京
jfie	齑
jfo	謇
jfou	谫
jfu	交
jfua	讥
jg	见
jga	据
jgae	掘
jgaee	捃
jgaeu	抉
jge	技
jgea	拒
jgeaa	拣
jgeae	捷
jgei	觐
jgeie	拮
jgeu	撅
jgeuo	掎
jgi	揭
jgia	捐
jgiae	攫
jgiai	觊
jgo	接
